X	X	X	X	X	X	X	X	X	X
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	1	4	4	4	4	1
4	4	4	4	3	3	4	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	1	1	4	4	4
4	4	4	4	4	3	4	4	4	3
4	4	4	4	4	4	4	3	1	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
4	4	4	4	4	4	4	3	3	4
X	X	X	4	4	4	0	4	4	4
X	X	X	4	4	4	0	4	4	4
X	X	X	3	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	3
X	X	X	4	4	4	4	4	4	3
X	X	4	4	4	4	4	4	0	4
X	X	4	3	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	3
X	4	4	4	X	4	4	4	4	1
X	4	4	4	4	4	0	4	4	4
X	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	0	X	4
4	4	0	4	4	4	4	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	4	0	4	4
4	4	4	4	4	4	4	0	4	4
4	4	4	4	4	4	4	0	4	4
4	4	4	4	4	4	4	0	4	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	0	4
X	3	4	4	4	4	4	4	4	4
X	4	4	3	4	4	4	4	4	4
X	4	4	4	4	4	4	3	4	4
X	4	4	4	4	4	4	3	4	4
X	4	4	4	4	4	4	3	4	4
X	4	4	4	4	4	4	3	4	4
X	4	4	4	4	4	4	4	1	4
X	4	4	4	4	4	4	4	1	4
X	4	4	4	4	4	4	4	1	4
X	4	4	4	4	4	4	4	1	4
X	4	4	4	4	4	4	4	4	1
X	4	4	4	4	4	4	4	4	1
X	4	4	4	4	4	4	4	4	3
X	4	4	4	4	4	4	4	4	3
X	4	4	4	4	4	4	4	4	3
X	4	4	4	4	4	4	4	4	3
X	4	4	4	4	4	4	4	4	3
X	4	4	4	4	4	4	4	4	3
3	X	4	4	4	4	4	4	4	4
4	X	3	4	4	4	4	4	4	4
4	X	4	4	4	4	4	3	4	4
4	X	4	4	4	4	4	4	4	1
4	4	3	X	4	4	4	4	4	4
4	4	4	4	4	X	4	4	4	1
4	4	4	4	4	4	X	4	1	4
4	4	4	4	4	4	4	3	4	X
4	4	4	4	4	4	4	3	4	X
1	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
3	4	4	4	4	4	4	4	4	4
4	3	4	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	1	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	3	4	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	3	4	4	4	4	4	4
4	4	4	4	3	4	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	3	4	4	4	4
4	4	4	4	4	4	1	4	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	3	4	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	1	4
4	4	4	4	4	4	4	4	3	4
4	4	4	4	4	4	4	4	3	4
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	1
4	4	4	4	4	4	4	4	4	3
4	4	4	4	4	4	4	4	4	3
4	4	4	4	4	4	4	4	4	3
4	4	4	4	4	4	4	4	4	3
4	4	4	4	4	4	4	4	4	3
4	4	4	4	4	4	4	4	4	3
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	X	X	4	4	4	4	4	4	4
X	4	X	4	4	4	X	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	X	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
X	4	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	X	4	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	X	4	4	4	4	4	4	4
4	4	4	X	4	4	4	4	4	4
4	4	4	X	4	4	4	4	4	4
4	4	4	X	4	4	4	4	4	4
4	4	4	X	4	4	4	4	4	4
4	4	4	4	X	4	4	4	4	4
4	4	4	4	4	X	4	4	4	4
4	4	4	4	4	X	4	4	4	4
4	4	4	4	4	X	4	4	4	4
4	4	4	4	4	4	X	4	4	4
4	4	4	4	4	4	4	X	4	4
4	4	4	4	4	4	4	X	4	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	X	4
4	4	4	4	4	4	4	4	4	X
4	4	4	4	4	4	4	4	4	X
4	4	4	4	4	4	4	4	4	X
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4
